Title,Location,Company,skills,wage,qualifications,work_place,job_type
Embedded Software Engineer,"Chicago, IL",Ubiety,N/A,"$110,000 - $130,000 a year","Computer Science, Computer Engineering, Cyber Studies, Electrical Engineering",N/A,N/A
"Research Engineer, Mechatronics & Software Research US/Canada","San Francisco, CA 
(Financial District/South Beach area)",Autodesk,N/A,N/A,"Computer Science, Computer Engineering, Cyber Studies, Electrical Engineering, N/A",N/A,N/A
Software Engineer,"Research Triangle Park, NC",Cisco Systems,N/A,N/A,N/A,N/A,N/A
Sr. Software Engineer- REMOTE,"Remote in Philadelphia, PA 19103",Comcast Corporation,N/A,N/A,N/A,N/A,N/A
Software Development Engineer III,"Seattle, WA",Fred Hutchinson Cancer Center,N/A,"$109,637 - $173,264 a year",N/A,N/A,N/A
"Programmer, Software Developer, Computer Science","Albuquerque, NM 87109 
(Academy Acres North area)",Ideal Spectroscopy,N/A,N/A,Computer Science,N/A,N/A
Software Engineer,"Orlando, FL",DCS Corp,N/A,N/A,N/A,N/A,N/A
Software Engineer,"Orlando, FL 32810",Electronic Arts,N/A,N/A,N/A,N/A,N/A
Systems Engineer,"Layton, UT",Peraton,N/A,"$66,000 - $106,000 a year","Computer Science, Computer Engineering, Electrical/Electronics Engineering, Math or Physics",In-person,N/A
Autonomous Systems: Path Generation,"San Jose, CA",Honda Research Institute USA,N/A,N/A,"Computer Science, Computer Engineering, Electrical/Electronics Engineering, Math, Physics",In-person,N/A
"Experienced Software Engineer, Front End Focus","Remote in Des Moines, IA 50392",Principal Financial Group,N/A,N/A,"Computer Science, Computer Engineering, Electrical/Electronics Engineering, Math or Physics",In-person,N/A
IT Applications Analyst,"Troy, NY 12180",Regeneron Pharmaceuticals Inc.,N/A,N/A,"Computer Science, Computer Engineering, Electrical/Electronics Engineering, Math or Physics",In-person,N/A
Technology Analyst- Java,"Rockville, MD",Infosys,N/A,N/A,"Computer Science, Computer Engineering, Electrical/Electronics Engineering, Math, or Physics",In-person,N/A
"Software Engineer, MCAD in C family","Hybrid remote in Boulder, CO",Anark,N/A,N/A,"Computer Science, Computer Engineering, Electrical/Electronics Engineering, Math or Physics",In-person,N/A
"Research Scientist, Future Product Innovation","Los Altos, CA 94022",Toyota Research Institute,N/A,"$151,800 - $210,000 a year","Computer Science, Computer Engineering, Electrical/Electronics Engineering, Math or Physics",In-person,N/A
IT Systems Engineer,"Hybrid remote in Irwindale, CA 91706",Bonduelle Fresh Americas,N/A,"$110,000 - $140,000 a year","Computer Science, Computer Engineering, Electrical/Electronics Engineering, Math or Physics",In-person,N/A
"Software Engineer, Integration Platforms","Palo Alto, CA",Tesla,N/A,"$104,000 - $348,000 a year","Computer Science, Computer Engineering, Electrical/Electronics Engineering, Math or Physics",In-person,N/A
Software Developer I,"Hybrid remote in Raleigh, NC 27608",AECOM,N/A,N/A,"Computer Science, Computer Engineering, Electrical/Electronics Engineering, Math or Physics",In-person,N/A
Developer-Java/J2EE Associate,"McLean, VA",Technology Ventures,N/A,N/A,N/A,On-site,N/A
Full Stack Developer,"Littleton, CO",PassTime,N/A,"$100,000 - $130,000 a year","Computer Science, Computer Engineering, Electrical/Electronics Engineering, Math or Physics",On-site,N/A
"Data Scientist, WWDE Data Science","Bellevue, WA",Amazon.com Services LLC,N/A,"From $111,600 a year","Computer Science, Computer Engineering, Electrical/Electronics Engineering, Math, Physics",In-person,N/A
"Angular Engineer, Design Systems","Denver, CO",CVS Health,N/A,"$72,100 - $144,200 a year","Computer Science, Computer Engineering, Electrical/Electronics Engineering, Math or Physics",In-person,N/A
Sr Software Engineer - Remote,"Remote in Eden Prairie, MN 55343",Optum,Experience and/or coursework in any object-oriented programming language,N/A,"Computer Science, Computer Engineering, Electrical/Electronics Engineering, Math or Physics",In-person,N/A
IT Customer Support (Non-Permanent),"Hybrid remote in Olympia, WA",State of Washington Auditor's Office,N/A,"$4,948 - $6,656 a month","College level coursework in Computer Science, Computer Engineering, or other related field.",Hybrid,full-time
"Engineer 4, Software Development & Engineering - 3970","Remote in Philadelphia, PA 19103",Comcast Corporation,N/A,N/A,"College level coursework in Computer Science, Computer Engineering, or other related field.",Hybrid,full-time
Systems Engineer,"Cary, NC 27513",SAS,N/A,N/A,"College level coursework in Computer Science, Computer Engineering, or other related field",Hybrid,full-time
Software Engineering SMTS,"Bellevue, WA 98004 
(Downtown area)",Salesforce,N/A,"$182,312 - $208,800 a year","Computer Science, Computer Engineering, or other related field",Hybrid,Full-time
"Research Fellow, Blueprint Labs","Cambridge, MA 02139 
(MIT area)",MIT,N/A,N/A,"Computer Science, Computer Engineering, or other related field",Hybrid,full-time
Computer Associate (Software) I- III Represented,"New York, NY 10004 
(Financial District area)",Metropolitan Transportation Authority,N/A,"From $108,638 a year",N/A,Hybrid,full-time
Software Engineer (React JS/ Typescript),"Morris Plains, NJ",Zonestra Technologies LLC,N/A,N/A,"College level coursework in Computer Science, Computer Engineering, or other related field.",Hybrid,full-time
Systems Engineer,"New York, NY",Doran Jones,N/A,"$70,000 - $200,000 a year","College level coursework in Computer Science, Computer Engineering, or other related field.",Hybrid,full-time
Software Engineer in Test,"Wilmington, NC",Apiture,N/A,N/A,"College level coursework in Computer Science, Computer Engineering, or other related field",Hybrid,full-time
Software Engineer C/C++,"Hybrid remote in Reston, VA",Verisign,N/A,N/A,"College level coursework in Computer Science, Computer Engineering, or other related field.",Hybrid,full-time
Full Stack Developer,Indiana,Cariva Technologies Pvt. Ltd.,N/A,N/A,"College level coursework in Computer Science, Computer Engineering, or other related field.",Hybrid,Full-time
Java Software Engineer,"Durham, NC 27709",Fidelity TalentSource,N/A,N/A,"College level coursework in Computer Science, Computer Engineering, or other related field.",Hybrid,full-time
"Software Engineer, Developer Tools","Hybrid remote in Chicago, IL",Tempus,N/A,"$100,000 - $145,000 a year","College level coursework in Computer Science, Computer Engineering, or other related field",Hybrid,full-time
Lab Systems Support Co-op (Fall 2024),"Lexington, MA 02421",Wave Life Sciences,N/A,N/A,"College level coursework in Computer Science, Computer Engineering, or other related field",Hybrid,full-time
Software Engineer,"Carlsbad, CA 92009 
(North Beach area)","Viasat, Inc.",N/A,N/A,"College level coursework in Computer Science, Computer Engineering, or other related field.",Hybrid,full-time
Computer Scientist,"Dover AFB, DE",US Department of the Air Force - Agency Wide,N/A,"$59,319 - $152,771 a year","Bachelor's degree in computer science or bachelor's degree with 30 semester hours in a combination of mathematics, statistics, and computer science",N/A,N/A
Servicenow Engineer Level 1,Remote,Xavier Gold Consulting Group,This job description does not contain any information about programming languages.,N/A,"Bachelor's degree in computer science or bachelor's degree with 30 semester hours in a combination of mathematics, statistics, and computer science",N/A,N/A
"Software Engineer, Applications (1 of 2)","Santa Clara, CA",Johnson & Johnson,N/A,"$96,900 - $156,055 a year","Bachelor's degree in computer science or bachelor's degree with 30 semester hours in a combination of mathematics, statistics, and computer science",N/A,N/A
Machine Learning Scientist (L4) - Content DSE,"Los Angeles, CA",Netflix,N/A,N/A,"computer science, bachelor's degree with 30 semester hours in a combination of mathematics, statistics, and computer science",N/A,N/A
Technology Associate,"New York, NY",Guardian Life Insurance Company,N/A,"$65,180.00 - $97,767.50 a year","Bachelor's degree in computer science or bachelor's degree with 30 semester hours in a combination of mathematics, statistics, and computer science. At least 15 of the 30 semester hours must have included any combination of statistics and mathematics that included differential and integral calculus. All academic degrees and course work must be from accredited or pre-accredited institutions.",N/A,N/A
COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - Kinesioception Computer Engineer,"San Antonio, TX 78238",Southwest Research Institute,N/A,N/A,"Bachelor's degree in computer science or bachelor's degree with 30 semester hours in a combination of mathematics, statistics, and computer science. At least 15 of the 30 semester hours must have included any combination of statistics and mathematics that included differential and integral calculus.",N/A,N/A
Jr. Systems Administrator - Atlas Central Services (Remote),"Remote in Rochester, NY 14609",Rochester Clinical Research,N/A,N/A,"Bachelor's degree in computer science or bachelor's degree with 30 semester hours in a combination of mathematics, statistics, and computer science. At least 15 of the 30 semester hours must have included any combination of statistics and mathematics that included differential and integral calculus.",N/A,N/A
Data Scientist,"Hillsboro, OR",INTEL,This job posting does not contain any specific programming language requirements.,"$186,552 - $279,772 a year",computer science,N/A,N/A
Software Developer Level 1,"McLean, VA 22102",Prescient Edge Federal,N/A,N/A,"Bachelor's degree in computer science or bachelor's degree with 30 semester hours in a combination of mathematics, statistics, and computer science. At least 15 of the 30 semester hours must have included any combination of statistics and mathematics that included differential and integral calculus.",N/A,N/A
Software Engineer,"Waltham, MA",Boston Dynamics,"The provided text does not include any information about programming languages required for the job description, so I cannot extract the requested data from the provided context.",N/A,"Bachelor's degree in computer science or bachelor's degree with 30 semester hours in a combination of mathematics, statistics, and computer science. At least 15 of the 30 semester hours must have included any combination of statistics and mathematics that included differential and integral calculus",N/A,N/A
Data Engineering Co-op,"Danvers, MA",Johnson & Johnson,N/A,N/A,"Bachelor's degree in computer science or bachelor's degree with 30 semester hours in a combination of mathematics, statistics, and computer science. At least 15 of the 30 semester hours must have included any combination of statistics and mathematics that included differential and integral calculus.",N/A,N/A
Software Engineer I (Atlanta Based),"Atlanta, GA",ImagineX Consulting,N/A,N/A,"Bachelor's degree in computer science or bachelor's degree with 30 semester hours in a combination of mathematics, statistics, and computer science. At least 15 of the 30 semester hours must have included any combination of statistics and mathematics that included differential and integral calculus. All academic degrees and course work must be from accredited or pre-accredited institutions.",N/A,N/A
Computer Science Co-op,"Louisville, KY 40223",Diversified Automation,N/A,N/A,"Bachelor's degree in computer science or bachelor's degree with 30 semester hours in a combination of mathematics, statistics, and computer science. At least 15 of the 30 semester hours must have included any combination of statistics and mathematics that included differential and integral calculus.",N/A,N/A
Software Engineer II (MGA Systems),"Denver, CO 80202 
(Central Business District area)",Vertafore,N/A,"$75,000 - $115,000 a year","Bachelor's degree in computer science or bachelor's degree with 30 semester hours in a combination of mathematics, statistics, and computer science",N/A,N/A
Technical Writer,Remote,Veterans Engineering,N/A,N/A,"Computer science, mathematics, or a combination of mathematics and statistics, where at least 15 of the 30 semester hours must have included any combination of statistics and mathematics that included differential and integral calculus",N/A,N/A
Cloud Engineer,"Hybrid remote in Newport Beach, CA 92660",- 4083,"Coding Skills,Bicep/Terraform,Powershell/Bash,Python,Github/Azure DevOps",N/A,N/A,Hybrid,full-time
Research Software Engineer,"Princeton, NJ",Simons Observatory,"Bicep/Terraform, Powershell/Bash, Python, Github/Azure DevOps",N/A,"Bachelor's degree in computer science, Information Technology, or related field",Hybrid,Full-Time
Entry level C# Software Developer and IT phone support IN PERSON LONG ISLAND ONLY,"Bohemia, NY 11716",Datascan Pharmacy Software,"Bicep/Terraform, Powershell/Bash, Python, Github/Azure DevOps",N/A,"Bachelor's degree in computer science, Information Technology, or related field",Hybrid,full-time
Backend Engineer,"San Francisco, CA",Halliday,"Bicep/Terraform, Powershell/Bash, Python",N/A,"Bachelor's degree in computer science, information technology, or a related field",Hybrid,full-time
Programmer Analyst,"Waverly, IA 50677",Wartburg College,"Bicep/Terraform, Powershell/Bash, Python",N/A,"Bachelor's degree in computer science, Information Technology, or related field",Hybrid,Full-Time
Cloud Engineer (Raleigh/ Perú),"Raleigh, NC",Astral Insights,"Coding Skills: Bicep/Terraform, Powershell/Bash, Python, Github/Azure DevOps",N/A,"Bachelor's degree in computer science, Information Technology, or related field",Hybrid,full-time
NJIT Full-Stack Software Development Co-Op,"Hybrid remote in Basking Ridge, NJ",Verizon,"Bicep/Terraform, Powershell/Bash, Python, Github/Azure DevOps",N/A,N/A,Hybrid,full-time
Software Developer,"Wixom, MI 48393",Infonet Technologies,"Coding Skills: Bicep/Terraform, Powershell/Bash, Python, Github/Azure DevOps","$107,411 a year","Computer Science, Information Technology",Hybrid,full-time
Engineer - Java/Kotlin - One Data platform,"Hybrid remote in Phoenix, AZ",Amex,"Coding Skills,Bicep/Terraform, Powershell/Bash, Python, Github/Azure DevOps","$85,000 - $150,000 a year","Bachelor's degree in computer science, Information Technology, or related field",Remote,full-time
Systems Analyst,"Remote in Providence, RI 02903",Blue Cross & Blue Shield of Rhode Island,"Bicep/Terraform, Powershell/Bash, Python, Github/Azure DevOps",N/A,"College Major,Computer science, Information Technology",Hybrid,full-time
Junior Software Developer,"Niceville, FL 32578","Applied Research Associates, Inc",N/A,N/A,"Bachelor’s degree in computer science, Information Technology, or related field",Hybrid,full-time
Systems and Infrastructure Engineer,"Hybrid remote in Olympia, WA",State of Washington Dept. of Enterprise Services,N/A,"$6,939 - $9,332 a month","Bachelor's degree in computer science, Information Technology, or related field",Hybrid,full-time
Software Implementation Engineer,"Hybrid remote in Hoffman Estates, IL 60192",Panasonic Connect of North America,"Coding Skills: Bicep/Terraform, Powershell/Bash, Python","$59,000 - $89,000 a year","Computer science, Information Technology",Remote,Full-time
Software Engineer (3.13.2024),"Monroe, LA 71203",Allied Building Stores Inc,"Bicep/Terraform, Powershell/Bash, Python, Github/Azure DevOps",N/A,"Education: Bachelor's degree in computer science, Information Technology, or related field","80% Remote, 20% Onsite",full-time
Applied Researcher - GenAI,"Redmond, WA 98052 
(Overlake area)",Microsoft,"Bicep/Terraform, Powershell/Bash, Python","$94,300 - $182,600 a year","Bachelor's degree in computer science, Information Technology, or related field",Hybrid,full-time
"Software Engineer, Language - Generative AI","San Francisco, CA 94105 
(Financial District/South Beach area)",Meta,"Python, N/A","$117,000 - $173,000 a year","Computer Science, Computer Engineering, or equivalent practical experience",N/A,N/A
Data Scientist I,"Newark, NJ 07105 
(Ironbound area)",Horizon Blue Cross Blue Shield of New Jersey,Python,N/A,"Computer Science, Computer Engineering, relevant technical field",N/A,N/A
PROMT ENGINEERING SPECIALISTS,Remote,Proits Hub LLC,"Python, N/A",N/A,N/A,N/A,N/A
Embedded Software Engineer,"Eden Prairie, MN 55344",InfoObject,"Python, N/A",$47 - $50 an hour,"Computer Science, Computer Engineering, relevant technical field",N/A,Full-time
Backend Software Engineer Specialist,"Jacksonville, FL 32204 
(Mixon Town area)",FIS Global,N/A,N/A,"Computer Science, Computer Engineering, or equivalent technical field",N/A,N/A
Cloud Software Engineer - All Levels,"Annapolis Junction, MD 20701",Interclypse Inc,N/A,N/A,"Computer Science, Computer Engineering, or equivalent practical experience",N/A,N/A
Hiring Software Engineer,"Mount Laurel, NJ 08054",Triunity Software,N/A,N/A,"Computer Science, Computer Engineering",N/A,N/A
COMPUTER SCIENTIST - ENGINEER - RESEARCH COMPUTER SCIENTIST - Kinesioception Computer Engineer,"San Antonio, TX 78238",Southwest Research Institute,N/A,N/A,"Computer Science, Computer Engineering, relevant technical field",N/A,Full-time
Student Summer Research Assistant- Computer Science #554053737,"Pomona, CA 91768","Cal Poly Pomona Foundation, Inc.",N/A,From $20 an hour,N/A,N/A,Full-time
Servicenow Engineer Level 1,Remote,Xavier Gold Consulting Group,N/A,N/A,N/A,N/A,Full-time
SOFTWARE DEVELOPER,"Kennett Square, PA 19348",Longwood Gardens,N/A,N/A,N/A,N/A,N/A
Cloud Engineer (Raleigh/ Perú),"Raleigh, NC",Astral Insights,"Programming Languages:	Python
N/A",N/A,N/A,N/A,Full-time
IT Engineer,"Denver, CO 80204 
(Sun Valley area)",Denver Broncos and Stadium Management Company,N/A,N/A,"Computer Science, Computer Engineering",N/A,N/A
Software Engineer - REMOTE,"Remote in Eagan, MN",Prime Therapeutics,"N/A, Python",N/A,"Computer Science,Computer Engineering",N/A,N/A
Systems Engineer,"Patrick Afb, FL 32925",ARES Corporation,N/A,"$100,000 - $136,000 a year","Computer Science, Computer Engineering, or equivalent practical experience",N/A,N/A
Systems Engineer,"Patrick Afb, FL 32925",ARES Corporation,N/A,"$100,000 - $136,000 a year","Engineering, Computer Science, Information Systems, or related field",In-person,Full-time
Systems Analyst,Remote,Centeva,N/A,N/A,"Engineering, Computer Science, Information Systems",N/A,Full-time
SUMMER + FALL 2024 CO-OP – SOFTWARE DEVELOPER / DATA ENGINEER,"Old Greenwich, CT",Ellington Management Group,N/A,N/A,"Engineering, Computer Science, Information Systems",In-person,Full-time
Software Test Engineer - SDV,"Warren, MI",General Motors,N/A,N/A,"Engineering, Computer Science, Information Systems",In-person,full-time
Junior Software Systems Engineer,"Washington, MI 48094","Sanford Federal, Inc.",N/A,N/A,"Engineering, Computer Science, Information Systems, N/A",N/A,Full-time
IT Technology Services Specialist,"Reston, VA 20191",SAP,N/A,"$165,173 a year",N/A,In-person,full-time
"Angular Engineer, Design Systems","Denver, CO",CVS Health,N/A,"$72,100 - $144,200 a year",N/A,In-person,Full-time
Software Test Analyst II,"Boston, MA 02128 
(East Boston area)",FIS Global,N/A,N/A,"Engineering, Computer Science, Information Systems",In-person,Full-time
Software Engineer,"Hybrid remote in Cambridge, MA",InduPro Therapeutics,N/A,N/A,"Engineering, Computer Science, Information Systems",In-person,Full-time
AI- macOs Software Developer,"Magnolia, DE 19962",SUMURI,N/A,"From $60,000 a year","Engineering, Computer Science, Information Systems",In-person,Full-time
NJIT Full-Stack Software Development Co-Op,"Hybrid remote in Basking Ridge, NJ",Verizon,N/A,N/A,"Engineering, Computer Science, Information Systems",In-person,Full-time
Junior Software Engineer,"Lake Oswego, OR 97035 
(Lake Forest area)",NAVEX Global,N/A,N/A,"Engineering, Computer Science, Information Systems",In-person,Full-time
Entry level C# Software Developer and IT phone support IN PERSON LONG ISLAND ONLY,"Bohemia, NY 11716",Datascan Pharmacy Software,N/A,N/A,"Engineering, Computer Science, Information Systems",In-person,Full-time
Software Engineer - Python,"Fort Worth, TX 76108",BAE Systems,N/A,"$83,900 - $142,600 a year","Engineering, Computer Science, Information Systems",In-person,Full-time
Software Engineer II (MGA Systems),"Denver, CO 80202 
(Central Business District area)",Vertafore,N/A,"$75,000 - $115,000 a year","Engineering, Computer Science, Information Systems",N/A,Full-time
Software Engineer II (MGA Systems),"Denver, CO 80202 
(Central Business District area)",Vertafore,N/A,"$75,000 - $115,000 a year",N/A,Hybrid,full-time
"Software Engineer, Energy Asset Management","Fremont, CA",Tesla,Are interested and capable of learning other programming languages as needed.,"$68,000 - $258,000 a year",N/A,Hybrid,Full-time
Software Engineer,"Hybrid remote in Plano, TX",Old Republic Title,"C#, MSSQL, N/A",N/A,N/A,Hybrid,Full-time
Systems and Infrastructure Engineer,"Hybrid remote in Olympia, WA",State of Washington Dept. of Enterprise Services,"C#, MSSQL, N/A","$6,939 - $9,332 a month",N/A,Hybrid,N/A
Lab Systems Support Co-op (Fall 2024),"Lexington, MA 02421",Wave Life Sciences,"C#, MSSQL, N/A",N/A,Bachelor’s degree in Computer Science (or related technical field) or equivalent practical experience,Hybrid,Full-time
Software DW Engineer,"Little Elm, TX 75068",RSA Tech,"C#, MSSQL",N/A,N/A,",Hybrid",Full-time
UI Engineer,"Chicago, IL 60606 
(Loop area)",GE HEALTHCARE,"C#, MSSQL, N/A",N/A,N/A,Hybrid,Full-time
Full Stack Software Engineer-Hybrid,"Hybrid remote in Cincinnati, OH",Sentrilock LLC,N/A,N/A,N/A,Hybrid,Full-time
Research Software Engineer,"Princeton, NJ",Simons Observatory,"C#, MSSQL, N/A",N/A,N/A,Hybrid,Full-time
Systems Engineer,"Fountain Inn, SC 29644",Rexroth,"C#, MSSQL, N/A",N/A,N/A,Hybrid,Full-time
Systems Engineer,"St. Louis, MO 63141","Alliance Technologies, LLC","C#, MSSQL, N/A","$78,091.73 - $94,045.95 a year",N/A,Hybrid,Full-time
Engineer - Java/Kotlin - One Data platform,"Hybrid remote in Phoenix, AZ",Amex,"C#, MSSQL, N/A","$85,000 - $150,000 a year",N/A,Hybrid,N/A
Backend Software Engineer - CapCut - San Jose,"San Jose, CA",ByteDance,"C#, MSSQL, N/A","$145,000 - $250,000 a year",N/A,Flexible First,N/A
Software Developer,Hybrid remote in Oregon,City of Beaverton,",N/A",N/A,N/A,Hybrid,N/A
SOFTWARE ENGINEER,"Fremont, CA",Srinav,"C#
MSSQL
N/A",N/A,N/A,Hybrid,Full-time
Jr. Systems Administrator - Atlas Central Services (Remote),"Remote in Rochester, NY 14609",Rochester Clinical Research,N/A,N/A,N/A,N/A,Full-time
Software Engineer (React JS/ Typescript),"Morris Plains, NJ",Zonestra Technologies LLC,N/A,N/A,"AS degree in computer science, IT, or related business field",N/A,N/A
ES Application Developer 1-3,"Hybrid remote in Houston, TX",University of Houston,N/A,N/A,N/A,N/A,Full-time
Machine Learning Engineer II (100% Remote),"Remote in Menomonee Falls, WI 53051",KOHLS,N/A,N/A,"AS degree in computer science, IT, or related business field.",N/A,Full-time
R&D Engineer/ Python Developer,"Westford, MA 01886",Cliff IT Solutions Inc,N/A,N/A,N/A,N/A,Full-time
Software Engineer,"Berkeley, CA",Atomic Machines Inc.,N/A,"$170,000 - $220,000 a year",N/A,N/A,Full-time
Computer Science Co-op,"Louisville, KY 40223",Diversified Automation,N/A,N/A,N/A,N/A,Full-time
Software Engineer I (Atlanta Based),"Atlanta, GA",ImagineX Consulting,N/A,N/A,"AS degree in computer science, IT, or related business field",N/A,Full-time
Software Engineer,"Starkville, MS",Camgian,N/A,N/A,N/A,N/A,N/A
System Engineer,"Remote in Chicago, IL 60007",Motorola Solutions,N/A,N/A,N/A,N/A,N/A
Senior Software Developer,"La Crosse, WI 54603",Kwik Trip,N/A,"From $93,855.06 a year",N/A,N/A,full-time
Software Web Developer,"Fort Worth, TX",Lockheed Martin Corporation,N/A,N/A,N/A,N/A,N/A
Information Technology Analyst,"Vernon, CA",City of Vernon,N/A,"$92,081.60 - $111,924.80 a year",N/A,N/A,Full-time
Quality Assurance Engineer (Project Hire),"Orlando, FL 32830",Disney,N/A,N/A,N/A,N/A,Full-time
Software Engineer,Remote in Illinois,Themesoft,N/A,N/A,N/A,N/A,N/A
Software Development Engineer,"Nashville, TN 37203 
(SoBro area)",Gibson Brands Inc.,C#,N/A,N/A,N/A,N/A
Java Developer,"Tampa, FL",Ascendion,N/A,"$95,000 - $115,000 a year",N/A,N/A,Full-time
"Epic - Software Developer, application via RippleMatch","Madison, WI",RippleMatch Opportunities,".NET Framework, .NET Core, C#, HTML5, CSS3, JavaScript, SQL Server",N/A,N/A,N/A,N/A
"Software Engineer, Applications (1 of 2)","Santa Clara, CA",Johnson & Johnson,".NET Framework
.NET Core
C#","$96,900 - $156,055 a year",N/A,N/A,N/A
