Title,Location,Company,skills,wage,qualifications,work_place,job_type
Computer Vision Engineer,"San Diego, CA",Vista Outdoor,"C++
OpenCV
Python
PyTorch
Caffe
Tensorflow
Jupyter Notebook","$118,200 - $185,000 a year",Computer Science,N/A,N/A
"Information Technology Specialist, (Computer Specialist)","Chicago, IL",U.S. Department of Justice,N/A,"$80,994 - $105,289 a year",N/A,N/A,N/A
IT Customer Support (Non-Permanent),"Hybrid remote in Olympia, WA",State of Washington Auditor's Office,N/A,"$4,948 - $6,656 a month","College level coursework in Computer Science, Computer Engineering, or other related field",Hybrid,Full-time
API and Application Developer,"Shelton, CT 06484",BTX Global Logistics,"C#,.NET,.NET,ASP.NET,MVC,Web API,RESTful web services","$80,000 - $130,000 a year","CS, N/A",In-person,Full-time
Computer Programmer Analyst,"Springfield, MO 65802 
(Midtown area)","City of Springfield, MO",N/A,N/A,Computer science,In-person,Full-time
Support Escalation Engineer,"Hybrid remote in Plano, TX 75024",Think Unified,N/A,"$65,000 - $75,000 a year",N/A,Hybrid,full-time
Software Engineer,"Annapolis Junction, MD 20701",Raytheon,"N/A Date Posted:
2021-12-31
Country:
United States of America
Location:
MD233: 420 National Business Parkway 420 National Business Parkway Suite 400, Annapolis Junction, MD, 20701 USA
N/A","$64,000 - $128,000 a year",Bachelor’s degree in Computer Science or related discipline from an accredited college or university.,N/A,full-time
Data Scientist I,"Seattle, WA 98109 
(Uptown area)",Seattle Children's Hospital,N/A,"$76,440.00 - $114,649.60 a year","Science, Computer Science, Statistics",N/A,full-time
Junior Software Engineer,"Lawrenceville, GA 30046","Encompass Supply Chain Solutions, Inc.","Rest, Soap, Microsoft SQL, Pick (Jbase)",N/A,Computer Science,N/A,N/A
Technology Project Assistant,Remote,Land Home Financial,N/A,"$65,000 - $75,000 a year",Information not found,Remote,Full-time
Junior Developer,"Depew, NY 14043","ConEquip Parts & Equipment, LLC","Python, SQL, PostgreSQL, Java, PHP, C++, HTML, CSS, JavaScript","$59,000 - $69,000 a year",Information not found.,In-person,Full-time
Software Developer - Creative,"Pleasant Prairie, WI 53158",Uline,"ASP.NET, MVC, C#, JavaScript, jQuery, T-SQL, Git, Jenkins",N/A,"Bachelor's degree in Computer Science, Information Technology or related field",In-person,Full-time
Junior Software Developer,"Hybrid remote in Mount Laurel, NJ 08054",Brooksource,"Golang,JavaScript,Python",Up to $29 an hour,"Computer science, Engineering, or related field",Hybrid,Full-time
Java Developer Recent Graduates - Entry Level Positions,"Atlanta, GA",Cogent Infotech Corporation,"Java, HTML, CSS, JavaScript",N/A,N/A,N/A,Full-time
Application Support Engineer,"Eatontown, NJ 07724",Robert Half,"Java, JavaScript, Python, SQL",$40 - $55 an hour,"Computer Science, Software Engineering, or a related field",N/A,N/A
Data Analyst,"Pomona, CA",Hooplife LLC,"VBA, Python",$26.96 - $30.15 an hour,"Data Science, Statistics, Mathematics, Computer Science",In person,Full-time
Software Developer,"Orlando, FL",Goodwin Recruiting,"Java, Angular, Javascript, Python","$90,000 - $115,000 a year","Bachelors degree in a technical discipline such as engineering, computer science, systems or software engineering",In-person,full-time
Desktop Support Analyst,"Winchester, VA",Matlock,N/A,"$70,000 a year","Information Technology, Computer Science",In-person,Full-time
Computer Science Engineer Co-op- Fall 2024,"Danvers, MA 01923",MilliporeSigma,"VBA, C#.NET, SQL",N/A,"Computer Science, Engineering",In-person,"Full-time, Internship"
Java Developer Recent Graduates - Entry Level Positions,"Irving, TX",Cogent Infotech Corporation,N/A,N/A,N/A,N/A,full-time
Information Technology Associate,"Yulee, FL 32097",White Oak Conservation,N/A,"$65,000 - $85,000 a year",Computer Science,In-person,Full-time
Associate Software Engineer,Hawaii,First Hawaiian Bank,"Front-end, back-end, api development, and DevOps infrastructure",N/A,Computer Science,N/A,full-time
Software Quality Assurance Analyst and Tester Apprentice,Hybrid remote in Florida,GEOGRAPHIC SOLUTIONS INC,HTML 5,N/A,N/A,In-person,N/A
Network Administrator,"Monterey, CA",Cornerstone Technology,N/A,"$120,000 - $185,000 a year",N/A,In-person,Full-time
Software Engineer (Entry Level),"Reston, VA 20190 
(Sunset Hills area)","HunterLab, Inc.",N/A,N/A,"Computer Science, Computer Engineering, or related field",In-person,Full-time
IT Help Desk Technician,"Winchester, VA 22603",Melnor Inc,N/A,"$55,000 - $65,000 a year","Computer Science, N/A",In person,Full-time
Entry Level Engineer / Scientist,"Hybrid remote in King George, VA 22485",V2X,N/A,"$50,000 - $65,000 a year","Mechanical Engineering, Electrical Engineering, Computer Engineering, Electronics Engineering, Mathematics, Computer Science, or Physics",Hybrid,full-time
IT Customer Support (Non-Permanent),"Hybrid remote in Olympia, WA",State of Washington Auditor's Office,N/A,"$4,948 - $6,656 a month","College level coursework in Computer Science, Computer Engineering, or other related field",Hybrid,full-time
Desktop Support Specialist,"Hybrid remote in Raleigh, NC 27607",Eximia Clinical Research,N/A,From $25 an hour,N/A,Hybrid,Full-time
System Administrator,"Sequim, WA 98382",Security Services Northwest,N/A,$23 - $24 an hour,N/A,In-person,Full-time
IT Support Technician,"Palm Beach, FL",MAHLER PRIVATE STAFFING,N/A,"$100,000 a year",Bachelor's in IT or a related field,Hybrid,Full-time
Desktop Support/Help Desk,"King of Prussia, PA 19406",Westover Property Management Company Lp,N/A,N/A,"Information Technology, Computer Science, or related field",In-person,Full-time
Support Engineer,"New York, NY 10018 
(Garment District area)",LENET,N/A,"$50,000 - $70,000 a year",N/A,In-person,Full-time
Data Management Technician,"Baton Rouge, LA 70810 
(South Burbank area)","Compliance EnviroSystems, LLC",N/A,$16 - $25 an hour,N/A,In person,Full-time
Business Solutions Architect,"Santa Monica, CA",Confidential Investment Company,"Airtable
API
JavaScript
Slack
Zapier
Make (Integromat)
LucidChart
Guru","$85,000 - $100,000 a year","IT, Computer Science",In person,Full-time
Full Stack Developer,"St. Louis, MO",Neteffects,"node.js,typescript,HTML,CSS,React",$70 - $80 an hour,Computer Science,Hybrid,Full-time
DevOps Engineer,"Hybrid remote in Salt Lake City, UT",HRmango,N/A,"$120,000 - $150,000 a year",N/A,Hybrid,Full-time
Computer Programmer,"Las Vegas, NV",The Original Roofing Company,"C#, HTML5, CSS3, jQuery, JavaScript, .NET Framework, SQL Server, MySQL, MongoDB",N/A,"Bachelor's degree in Computer Science, Engineering, or a related field",In-person,N/A
"Desktop Support Technician, IT Operations","Palo Alto, CA",Tesla,"Python, PowerShell",N/A,"Information Technology, Computer Science",In-person,Full-time
Full Stack Engineer,Remote,Linkitall LLC,"HTML, CSS, JavaScript, Python, Ruby, .NET, AWS S3/Glue, C#","$100,000 - $120,000 a year",N/A,Remote,",Full-time"
Computer Programmer/Analyst,"Las Vegas, NV 89115 
(Sunrise Manor area)",The Original Roofing Company,"HTML5, CSS3, jQuery, JavaScript, C#, SQL Server, MySQL, MongoDB","$60,000 - $100,000 a year","Computer Science, Engineering, or a related field",In person,Full-time
Desktop Support Technician,"Katy, TX 77493",OfficerTRAK,N/A,"$50,000 - $60,000 a year","Computer Science / Engineering, IT, or equivalent work experience",In-person,Full-time
Junior Developer,"Depew, NY 14043","ConEquip Parts & Equipment, LLC","Python, SQL, Java, PHP, C++, HTML, CSS, JavaScript","$59,000 - $69,000 a year",N/A,In-person,Full-time
IT Support Specialist,"Phoenix, AZ",SkySkopes,N/A,"$70,000 - $78,000 a year",Associate or bachelor’s degree in Information Technology or related field or combination of education and related experience,In-person,Full-time
Information Technology Specialist,"Washington, DC",Contract Appeals Board,N/A,N/A,"computer science, engineering, information science, information systems management, mathematics, operations research, statistics, or technology management",In-person,N/A
IT Services Technician,"Auburn, WA 98002",Valley Regional Fire Authority,N/A,N/A,"Computer Science, Management Information Systems, or a related technical field",In-person,full-time
End Point Tester,"Manhattan, NY",Kforce,N/A,$25 an hour,"Computer Science, Computer Technology, or related field
Information Technology",In-person,N/A
Software Development Engineer I,"Waukesha, WI 53188",Generac Power Systems,"C#, Java, JavaScript",N/A,Computer Science,N/A,Full Time
Python Developer,"Jacksonville, FL 32256",Kforce,Python,"$110,500 - $149,500 a year",N/A,N/A,Full-time
Helpdesk - Desktop Systems Administrator,"Anchorage, AK 99503 
(Spenard area)","Stratus Services, LLC",N/A,"$65,000 - $80,000 a year",N/A,In-person,Full-time
ServiceNow Developer,"Aberdeen, MD 21001","Data Systems Analysts, Inc.","JavaScript, REST API, MySQL, Linux",N/A,N/A,Remote,Full-time
"Manager, Information Security & Special Projects","Denver, CO 80237 
(Hampden South area)",Millennium Hotels & Resorts,N/A,"$85,000 - $100,000 a year","Computer Science, Information Security",In-person,Full-time
Computer Associate (Software),"Manhattan, NY",NYC Careers,N/A,N/A,Computer science or a related computer field,Hybrid,Full-time
Software Engineer,"Plano, TX 75024",JPMorgan Chase & Co,"Angular, Apache Zookeeper, Cloud Services (AWS or Azure), Docker, Hibernate, JSON, Maven, Oracle, React, Selenium, Spark, SVN, UNIX, Ant, Bootstrap, Dynatrace, Hive, Javascript, Junit, Microservices, Performance Testing, REST, Shell Scripting, Splunk, Swift, Apache Kafka, CSS, GIT, Infrastructure Architecture Disciplines, Jenkins, Kubernetes, MongoDB, Python, SASS, SOAP, and REST web services, Spring Framework, WebSphere, Apache Tomcat, Cassandra, Cucumber, Hadoop, J2EE, JQuery, Linux, NodeJS, Qlikview, Scala, Software Development, SQL, TypeScript, XML, C, C++, Perl, Python, Java, C#, or NET",N/A,"Computer Engineering, Computer Science, Management Information Systems, Information Technology",Hybrid,N/A
