Title,Location,Company,skills,wage,qualifications,work_place,job_type
Software Engineer,"Mountain View, CA 94043",Microsoft,"Java, JSON, Maven, Oracle, Selenium, SVN, UNIX, Javascript, Junit, Microservices, Performance Testing, REST, Splunk, GIT, Jenkins, SOAP, REST web services, Apache Tomcat, Cassandra, Cucumber, JQuery",N/A,N/A,N/A,full-time
IT Data Governance Specialist,"North Liberty, IA 52317",GreenState Credit Union,N/A,"$90,593.36 - $121,250.74 a year","Computer Science/Engineering, Business Analytics, Information Technology, Statistics",N/A,Full-Time
"Engineer, Generative AI","Pleasanton, CA",Vagaro,N/A,"$160,000 - $190,000 a year","Bachelor's or Master's degree in Computer Science, Data Science, Artificial Intelligence, or a related field",In-person,Full-time
Junior Web Developer,"Scottsdale, AZ 85255 
(North Scottsdale area)",Colossal Management LLC,N/A,"$60,000 - $80,000 a year","Computer Science, Data Science, Artificial Intelligence",In-person,Full-time
Junior Electrical Engineer,"Jersey City, NJ 07305 
(Greenville area)",ACR,N/A,$30 - $45 an hour,"Computer Science, Data Science, Artificial Intelligence, or a related field",In-person,Full-time
IT Service Desk Specialist,Remote in Ohio,Dizer Corp.,N/A,$18 - $21 an hour,"Computer Science, Data Science, Artificial Intelligence, or a related field",In-person,Full-time
Software Developer,"Hybrid remote in Research Triangle Park, NC 27703",Sciome LLC,N/A,"$70,000 - $115,000 a year","Computer Science, Data Science, Artificial Intelligence",In-person,Full-time
Adjunct Instructor (Information Technology & Computer Science) - HYBRID,"Hybrid remote in Irvine, CA 92614",Westcliff University,N/A,$40 - $45 an hour,"Computer Science, Data Science, Artificial Intelligence, or a related field",In-person,Full-time
Robotics Engineer,"Salinas, CA 93908",Stout Industrial Technology,N/A,"$110,000 - $190,000 a year","Computer Science, Data Science, Artificial Intelligence, or a related field",In-person,Full-time
Teacher - Entry Level to Experienced,"Brooklyn, NY 11226",Success Academy Charter Schools,N/A,"From $60,000 a year","Bachelor's or Master's degree in Computer Science, Data Science, Artificial Intelligence, or a related field., N/A",In-person,Full-time
Software Developer,"Caguas, PR 00725",ALC,N/A,N/A,"Computer Science, Data Science, Artificial Intelligence",In-person,Full-time
Computer AI Engineer,"Whitehall, MI 49461",Howmet Aerospace,N/A,N/A,"Computer Science, Data Science, Artificial Intelligence",In-person,Full-time
Data Scientist,"Tarrytown, NY 10591","Links Technology Solutions, Inc.",N/A,$70 - $80 an hour,"Computer Science, Data Science, Artificial Intelligence, or a related field",In-person,Full-time
AGV Program Developer,"Decatur, IL",Align Production Systems,N/A,"$90,000 a year","Computer Science, Data Science, Artificial Intelligence",In-person,Full-time
Solutions Architect,"Hybrid remote in Jersey City, NJ 07302",oXya,N/A,"$150,000 a year","Computer Science, Data Science, Artificial Intelligence",In-person,Full-time
Help Desk Specialist,"New York, NY 10019 
(Midtown area)",Innovative Driven,N/A,"$85,000 - $105,000 a year","Computer Science, Data Science, Artificial Intelligence",In-person,Full-time
Entry Level Business Analyst,"Smithfield, RI 02917","AGI Construction, Inc.",N/A,"$55,000 - $70,000 a year",N/A,In-person,Full-time
Machine Learning Engineer II (100% Remote),"Remote in Menomonee Falls, WI 53051",KOHLS,"Python, TensorFlow, PyTorch, scikit-learn, N/A",N/A,"BS in Data Science, Computer Science, Machine Learning, Applied Mathematics, or equivalent quantitative field.",N/A,N/A
Applied Sciences,"Redmond, WA 98052 
(Overlake area)",Microsoft,"Python, TensorFlow, PyTorch, scikit-learn","$94,300 - $182,600 a year","BS in Data Science, Computer Science, Machine Learning, Applied Mathematics, or equivalent quantitative field",N/A,N/A
Computer Science Teacher,"Avon, MA 02322",Avon Public Schools,Python,N/A,"BS in Data Science, Computer Science, Machine Learning, Applied Mathematics, or equivalent quantitative field.",N/A,Full-time
Application Software Expert Quality Engineer,"Fort Collins, CO 80528",Hewlett Packard,"Python
TensorFlow
PyTorch
scikit-learn","$102,500 - $157,850 a year","BS in Data Science, Computer Science, Machine Learning, Applied Mathematics, or equivalent quantitative field",N/A,Full-time
Software Engineer II,"New York, NY",Disney Entertainment & ESPN Technology,"Python, TensorFlow, PyTorch, scikit-learn","$117,998 - $158,290 a year","BS in Data Science, Computer Science, Machine Learning, Applied Mathematics, or equivalent quantitative field",N/A,N/A
Sr. Infotainment Platform System Software Architect- SDV,"Sunnyvale, CA",General Motors,"Python, TensorFlow, PyTorch, scikit-learn","$186,200 - $285,300 a year","BS in Data Science, Computer Science, Machine Learning, Applied Mathematics, or equivalent quantitative field",N/A,Full-time
Full Stack Developer,"Arlington, VA 22202 
(Aurora Highlands area)",BAE Systems,N/A,"$112,420 - $191,070 a year","BS in Data Science, Computer Science, Machine Learning, Applied Mathematics, or equivalent quantitative field",N/A,N/A
Senior Programmer,Remote,Chickasaw Nation Industries,"Python, TensorFlow, PyTorch, scikit-learn",N/A,"BS in Data Science, Computer Science, Machine Learning, Applied Mathematics, or equivalent quantitative field",N/A,Full-time
PeopleSoft Developer,"St. Louis, MO 63118 
(Benton Park area)",CACI,"Python, TensorFlow, PyTorch, scikit-learn",N/A,"Data Science, Computer Science, Machine Learning, Applied Mathematics",N/A,Full-time
Director - HCMs and Compensation,"Alpharetta, GA 30009",Jackson Healthcare Government Services,"Python, TensorFlow, PyTorch, scikit-learn, N/A","From $140,000 a year","BS in Data Science, Computer Science, Machine Learning, Applied Mathematics, or equivalent quantitative field",N/A,N/A
AI Scientist,Maryland,Leidos,"Python, TensorFlow, PyTorch, scikit-learn","$101,400 - $183,300 a year","Data Science, Computer Science, Machine Learning, Applied Mathematics",N/A,N/A
J Resort - Casino Marketing Data Analyst,"Reno, NV 89501 
(Southwest area)",JESR LLC,"Python, TensorFlow, PyTorch, scikit-learn, SQL, Spark, Kubeflow, Airflow","$52,000 - $62,000 a year","Data Science, Computer Science, Machine Learning, Applied Mathematics",N/A,Full-time
Software Tester (Levridge),"Remote in Fargo, ND",Stoneridge Software,"Python, TensorFlow, PyTorch, scikit-learn, Java, Scala",N/A,"Data Science, Computer Science, Machine Learning, Applied Mathematics",N/A,Full-time
Embedded Software Engineer,Remote,Tree Top Staffing LLC,"Python, TensorFlow, PyTorch, scikit-learn, SQL",N/A,"BS in Data Science, Computer Science, Machine Learning, Applied Mathematics, or equivalent quantitative field",N/A,N/A
Systems Support Specialist,"Springfield, IL 62707 
(Abraham Lincoln Capital Airport area)",StandardAero,N/A,N/A,"BS in Data Science, Computer Science, Machine Learning, Applied Mathematics, or equivalent quantitative field",N/A,Full-time
IT Disaster Recovery And Business Continuity Administrator,"Greensboro, NC 27401",TEKsystems,N/A,N/A,N/A,N/A,Full-time
Software Engineer 2,"Dallas, TX",Microsoft,N/A,"$94,300 - $182,600 a year","Bachelor's degree in computer science, cybersecurity, or related field",N/A,N/A
Data Extraction Engineer (NYC or Remote),Remote in New York State,"Trunk Tools, Inc.",N/A,"$170,000 - $240,000 a year",N/A,N/A,Full-time
Information Technology Specialist,"Washington, DC 20032 
(Saint Elizabeths area)",Homeland Security & EMA,N/A,N/A,N/A,N/A,N/A
Cybersecurity Engineer,"Fort Worth, TX 76104 
(Southside area)",Radiology Associates of North Texas,N/A,"$110,000 - $120,000 a year","computer science, cybersecurity",N/A,N/A
National Water Model (NWM) Software Test Engineer,"Remote in Silver Spring, MD","Earth Resources Technology, Inc",N/A,"$130,000 - $150,000 a year",N/A,N/A,Full-time
Management Trainee- Recent Graduates,"Elmont, NY 11003",IRI,N/A,"$40,000 a year","Bachelor's degree in computer science, cybersecurity, or related field",N/A,N/A
Cybersecurity Engineer,"Orlando, FL",Abbott Laboratories,N/A,"$83,000 - $166,000 a year",N/A,N/A,N/A
Security Architecture Analyst II,Remote,Vibrant Emotional Health,N/A,"$80,000 - $92,000 a year",N/A,N/A,Full-time
