Title,Location,Company,skills,wage,qualifications,work_place,job_type
Azure B2C System Administrator,"Tallahassee, FL",Capital Technology Alliance,N/A,$85 - $90 an hour,"Computer Science, MIS or related field",In-person,Contract
"Data Scientist, WWDE Data Science","Bellevue, WA",Amazon.com Services LLC,"SQL, Python, R","From $111,600 a year","Master's degree in a quantitative field, or Bachelor's degree and 5+ years of a quantitative field such as statistics, mathematics, data science, business analytics, economics, finance, engineering, or computer science",N/A,Full-time
Sr. Data Scientist,Remote,Symetra Financial,"**Programming Languages Needed**

SQL
Python or R",N/A,N/A,REMOTE,full-time
IT Service Manager,"Bountiful, UT 84010",CompuTech,N/A,"From $75,000 a year","Bachelor's degree in Information Technology, Computer Science, or related IT discipline",In person,Full-time
IT Service Desk Analyst,"Hybrid remote in Hattiesburg, MS",Wis-Pak,N/A,N/A,"Computer Science, Engineering",In-person,Full-time
Quality Data Scientist,"Sparks, NV 89434",Tesla,"SQL, Python, Airflow, Kubernetes, Kafka, N/A",N/A,"Management Information Systems, Computer Science, Math, Physics, Engineering, Statistics",N/A,full-time
Cloud Engineer,"Fort Liberty, NC 27330",Kaimetrix,N/A,$100 - $115 an hour,N/A,In-person,Full-time
IT Innovation Manager,"Arlington, VA",Nestlé IT,N/A,"$115,000 - $175,000 a year","computer science, data analytics, engineering, ethics",N/A,N/A
Quantitative Research Analyst – University Graduate,"Chicago, IL 60603 
(The Loop area)",Citadel Securities,"Python, R, C++","$175,000 - $275,000 a year",N/A,N/A,N/A
Business Analyst,"Providence, RI",Adecco,N/A,"$70,000 - $85,000 a year",N/A,In-person,full-time
"Software Engineer (L5), Consumer ML Model Serving Systems",Remote,Netflix,"Java, N/A",N/A,N/A,N/A,Full-time
Machine Learning Researcher,"San Francisco Bay Area, CA",Qualcomm,N/A,"$195,500 - $293,500 a year",N/A,N/A,N/A
Audio Machine Learning Research Co-op,"Framingham, MA",Bose,"Python, Tensorflow, Keras, PyTorch",N/A,N/A,N/A,Internship
Data Operations Engineer,"New York, NY 10017 
(Murray Hill area)","Code Willing, LLC","Python, SQL/NoSQL, Linux, Bash, Fish, Zsh","$135,000 - $185,000 a year","Computer Science, Mathematics, Statistics, Economics, or Finance",In-person,full-time
Technology Security Designer,"Fort Meade, MD",National Security Agency,N/A,"$97,876 - $142,341 a year","Computer Science, Engineering, Mathematics, Computer Forensics, Cybersecurity, Information Technology, Information Assurance, Information Security, Information Systems",N/A,full-time
Quantitative Research Analyst – University Graduate,"Chicago, IL",Citadel Enterprise Americas,"Python, R, C++","$175,000 - $275,000 a year","Mathematics, Statistics, Physics, Computer Science",N/A,N/A
"Engineer I, Software Analysis Engineering","Plano, TX 75023",Samsung Electronics,N/A,N/A,N/A,N/A,N/A
Network Security Engineer,"El Segundo, CA 90245",Aerospace Federal Credit Union,N/A,$46 - $55 an hour,Computer Science,In person,Full-time
Systems Engineer,"Fremont, CA",Hyve Solutions,", Python, RedHat, SuSE, Debian Linux-based distributions","Up to $123,500 a year","BS ME, MS, CS, CE",In-person,Full-time
Scientist I – Machine Learning for Generative Shape Modeling,"Hybrid remote in Seattle, WA 98109",Allen Institute,N/A,"$82,650 - $115,700 a year",N/A,Hybrid,N/A
Quantitative Researcher - Systematic Futures and Currencies,"New York, NY",Executive Placement Network,"Python, N/A","$200,000 - $300,000 a year",N/A,In-person,Full-time
Full Stack PHP Developer - Remote,Remote,Galactic Advisors,"PHP, JavaScript, CSS, HTML","$75,000 - $120,000 a year","Computer Science, Computer Science, N/A",Remote,full-time
HRIS Project Manager,"Hybrid remote in North Chicago, IL 60064",Orion Group,N/A,$41 - $44 an hour,"Bachelor's degree in computer science, information systems, Human Resources or a related field",Hybrid,Full-time
Quantitative Researcher – PhD Graduate,"Chicago, IL 60603 
(The Loop area)",Citadel Securities,"Python, R, C++",N/A,N/A,N/A,N/A
IT Support Specialist,"Phoenix, AZ",SkySkopes,N/A,"$70,000 - $78,000 a year",Information Technology or related field,In-person,Full-time
Sr. Quality Assurance Analyst,"Houston, TX 77092 
(Lazybrook - Timbergrove area)",Houston Independent School District,N/A,"$67,545 - $111,450 a year","business, computer science or other related field",In-person,Full-time
Manager of Software Engineering,"Jersey City, NJ 07310 
(Downtown area)",JPMorgan Chase & Co,N/A,"$147,250 - $215,000 a year",N/A,N/A,Full-time
"Systems Engineer, Associate","Hybrid remote in Orange, CA 92868",Orange County Transportation Authority,N/A,$51.66 - $59.98 an hour,"Computer Science, Information Technology, or a related field",Hybrid,N/A
Software Engineer,"Houston, TX 77002 
(Downtown area)",JPMorgan Chase & Co,"Java, Javascript, HTML, SQL",N/A,"Computer Engineering, Computer Science, Information Technology, or related field of study",N/A,Full-time
Software Engineer,"New York, NY 10017 
(Midtown area)",JPMorgan Chase & Co,"Java, Javascript, SQL","$186,000 - $215,000 a year","Computer Engineering, Computer Science, Information Technology, or related field of study",N/A,N/A
Software Engineer,"Jersey City, NJ 07310 
(The Waterfront area)",JPMorgan Chase & Co,"HTML, Java, Javascript, Shell Scripting, SQL","$171,000 - $215,000 a year","Computer Engineering, Computer Science, Information Technology",In-person,N/A
Software Developer - Web,"Pleasant Prairie, WI 53158",Uline,".NET, MVC, C#, JavaScript (jQuery or TypeScript), T-SQL",N/A,"Computer Science, Information Technology",In-person,Full-time
Senior Software Developer,"Remote in Redmond, WA 98052",Experis,"| C# | KQL |
|---|---|
| Yes | Yes |",$62 - $67 an hour,Computer Science,Remote,Full-time
Data Scientist,"Washington, DC 20415 
(Foggy Bottom area)",US Office of Personnel Management,"R
Python
SQL
JavaScript","$139,395 - $181,216 a year","Mathematics, statistics, computer science, data science or field directly related to the position",N/A,N/A
"AI/ML Architect, Generative AI Innovation Center","Dallas, TX","Amazon Web Services, Inc.","Python, R, Matlab, Java","From $105,100 a year","Masters or PhD degree in computer science, or related technical, math, or scientific field",N/A,N/A
IT Deployment Project Coordinator,"Washington, DC","Ethic Tech, LLC",N/A,"$115,279 - $148,651 a year",Computer Science,In-person,Full-time
Tier 1 Support Engineer,"Bellevue, WA 98004 
(Downtown area)",SMCI / Milestone Technologies,N/A,$23 - $29 an hour,"Computer Science, Information Systems, Computer Engineering",In-person,N/A
Research Engineer,"San Francisco, CA",Center for AI Safety,N/A,"$120,000 - $160,000 a year",N/A,N/A,N/A
Systems Administrator,"Amarillo, TX","Nelson-Jameson, Inc.",N/A,"$75,000 - $80,000 a year","Computer Science, Business Administration, Information Technology, or related field",In person,Full-time
US Computer Science,"Greenwich, CT 06830",Brunswick School Inc,"Python, Java, HTML",N/A,Computer Science,N/A,Full-Time
Senior Software Engineer II,Remote,PrintMail Solutions,"C#.NET, ASP.NET, MVC.NET, CSS 3, Entity Framework, AJAX, jQuery, T-SQL","$130,000 a year",Computer Science,Remote,Full-time
Machine Learning Engineer,"San Francisco, CA",Hive,N/A,"$120,000 - $180,000 a year",N/A,In person,full-time
Associate Data Scientist,"Cambridge, MA",ARIAD,"Programming Languages: Python, SQL",N/A,N/A,N/A,Full time
Audio Machine Learning Research Co-op,"Framingham, MA",Bose,"Python, Tensorflow, Keras, PyTorch",N/A,N/A,N/A,Internship
Cryogenic Engineer / Engineering and Physical Sciences Researcher,"Fort Meade, MD",National Security Agency,N/A,"$102,477 - $191,900 a year","Engineering, Physics or Astronomy, relevant professional technical field (for example, chemistry, computer science, mathematics, hydrology, geology)",N/A,full-time
Dot Net Developer,"Washington, DC","Red Cedar Consultancy, LLC",".NET, C#, SQL, PL/SQL, CSS, JAVASCRIPT, HTML, JQUERY, AJAX, WCF, ADO.NET","$80,000 - $95,000 a year",N/A,In person,Full-time
Systems Administrator I,"Hybrid remote in Albuquerque, NM 87109",Rinchem Company Inc.,N/A,N/A,"Engineering, Computer Science",Hybrid remote,Full-time
Manager- Data Scientist,"Hybrid remote in New York, NY 10001",L'Oreal,"Programming  Languages Needed,Python, SQL",N/A,N/A,Hybrid,N/A
GIS (Web Developer) Analyst II,"Houston, TX 77040 
(Cypress-Fairbanks area)",Harris Central Appraisal District,"Microsoft Visual Studio, Microsoft SQL Server, JavaScript, Python",N/A,"Computer Science, Management Information Systems, Geographic Information Systems",N/A,Full-time
Sr Technology Analyst,"Hybrid remote in Dallas, TX 75235",Southwest Airlines,N/A,"From $118,600 a year","Business, Engineering, Computer Science, or Information Systems or related field",Hybrid,Full-time
Applied Sciences II,"Redmond, WA 98052 
(Overlake area)",Microsoft,"R, Python","$94,300 - $182,600 a year","Statistics, Econometrics, Computer Science, Electrical or Computer Engineering, or related field",Hybrid,N/A
Vice President of Software Engineering,"Cincinnati, OH",Confidential,N/A,N/A,N/A,In-person,Full-Time
Electrical Engineer,"Sandy Lake, PA 16145",Kelly,N/A,N/A,"Electrical Engineering, Computer Science/Computer Engineering, Electronics Technology",N/A,N/A
Applied Machine Learning Engineer,"Lexington, MA",MIT Lincoln Laboratory,"Matlab, Python, Julia, C++, Rust, N/A",N/A,N/A,Hybrid,N/A
Desktop Support Specialist,"Hybrid remote in Raleigh, NC 27607",Eximia Clinical Research,N/A,From $25 an hour,N/A,Hybrid,Full-time
AI Machine Learning Scientist,"Hybrid remote in Chicago, IL",Elevance Health,"Python, SQL, Natural Language Processing (NLP), Large Language Model (LLM), TensorFlow/Pyspark/ or Keras",N/A,"Computer Science, Machine Learning, Operational Research, Statistics, Mathematics",Hybrid,Full time
Sr Software Engineer,"Dallas, TX 75235 
(Dallas Love Field area)",Southwest Airlines,N/A,"From $137,250 a year","Business, Engineering, Computer Science, or Information Systems",Remote,N/A
